,title,location,price,url
0,VHS O Exterminador do Futuro - Videoteca Fita Cassete,São Paulo,"30,00",https://shopee.com.br/VHS-O-Exterminador-do-Futuro-Videoteca-Fita-Cassete-i.274430644.22832947590?sp_atk=629d6a7b-255b-487d-a582-e2a2a49c48c5&xptdk=629d6a7b-255b-487d-a582-e2a2a49c48c5
1,Filme VHS O Exterminador Do Futuro/Compre3 Ganhe1,São Paulo,"19,90",https://shopee.com.br/Filme-VHS-O-Exterminador-Do-Futuro-Compre3-Ganhe1-i.308259275.19710547195?sp_atk=c131ddff-2442-4ba9-825e-d213cb4d8282&xptdk=c131ddff-2442-4ba9-825e-d213cb4d8282
2,VHS o exterminador do futuro 3 a rebelião das maquinas,Minas Gerais,"15,00",https://shopee.com.br/VHS-o-exterminador-do-futuro-3-a-rebeli%C3%A3o-das-maquinas-i.412203253.21554556602?sp_atk=2cfb4c44-d471-42fb-8858-ce1f9e3f4fde&xptdk=2cfb4c44-d471-42fb-8858-ce1f9e3f4fde
3,Vhs O Exterminador Do Futuro Versão Legendado Em Ingles #av,Santa Catarina,"70,00",https://shopee.com.br/Vhs-O-Exterminador-Do-Futuro-Vers%C3%A3o-Legendado-Em-Ingles-av-i.751137276.18444987968?sp_atk=554b1e70-23aa-495c-83a0-dffa399503fd&xptdk=554b1e70-23aa-495c-83a0-dffa399503fd
4,O Exterminador do futuro Vhs importado,São Paulo,"80,00",https://shopee.com.br/O-Exterminador-do-futuro-Vhs-importado-i.963695180.23729191307?sp_atk=b042af0b-65e0-4152-9395-3daa2d6dd506&xptdk=b042af0b-65e0-4152-9395-3daa2d6dd506
5,VHS o exterminador do futuro 3 a rebelião das maquinas,Minas Gerais,"15,00",https://shopee.com.br/VHS-o-exterminador-do-futuro-3-a-rebeli%C3%A3o-das-maquinas-i.412203253.19653863840?sp_atk=e3ab0024-b7ec-472a-a650-996a5aec394e&xptdk=e3ab0024-b7ec-472a-a650-996a5aec394e
6,VHS ORIGINAL RARO: O EXTERMINADOR DO FUTURO # IMPECÁVEL # MUITO NOVO # P/ COLECIONADORES  # GRANDE OPORTUNIDADE !!!,Rio de Janeiro,"45,00",https://shopee.com.br/VHS-ORIGINAL-RARO-O-EXTERMINADOR-DO-FUTURO-IMPEC%C3%81VEL-MUITO-NOVO-P-COLECIONADORES-GRANDE-OPORTUNIDADE-!!!-i.389397413.9120628542?sp_atk=b7333eb0-1a28-47bd-a263-d4180a3d204a&xptdk=b7333eb0-1a28-47bd-a263-d4180a3d204a
7,VHS O exterminador do futuro 3 ( dublado),São Paulo,"30,00",https://shopee.com.br/VHS-O-exterminador-do-futuro-3-(-dublado)-i.310589469.13659379993?sp_atk=ee21a3c7-918f-4d2e-b6c4-f217c03f7775&xptdk=ee21a3c7-918f-4d2e-b6c4-f217c03f7775
8,VHS TRIPLO FILME RARÍSSIMO:  HOOK - A VOLTA DO CAPITÃO GANCHO / O EXTERMINADOR DO FUTURO 2  / ROCKY V # IMPECÁVEL # MUITO NOVO # P/ COLECIONADORES # GRANDE OPORTUNIDADE !!!,Rio de Janeiro,"39,90",https://shopee.com.br/VHS-TRIPLO-FILME-RAR%C3%8DSSIMO-HOOK-A-VOLTA-DO-CAPIT%C3%83O-GANCHO-O-EXTERMINADOR-DO-FUTURO-2-ROCKY-V-IMPEC%C3%81VEL-MUITO-NOVO-P-COLECIONADORES-GRANDE-OPORTUNIDADE-!!!-i.389397413.8123674582?sp_atk=d25e0a26-23b7-4348-a73b-18f48d442222&xptdk=d25e0a26-23b7-4348-a73b-18f48d442222
